"school","primary_color","secondary_color"
"Alabama A&m University","#660000","#FFFFFF"
"Alabama State University","#000000","#C99700"
"Albany State University","#0033A0","#EAAA00"
"Alcorn State University","#512D6D","#CC8A00"
"Allen University","#00539B","#C4A912"
"American Baptist College","#194169","#F9C20A"
"University of Arkansas at Pine Bluff","#000000","#EEB310"
"Arkansas Baptist College","#985BA3","#F3A913"
"Barber Scotia College","#4169E1",NA
"Benedict College","#341C4B","#F7CF07"
"Bennett College","#00236C","#337AB7"
"Bethune Cookman University","#F2A900","#6F263D"
"Bishop State Community College","#027E42","#F3C612"
"Bluefield State College","#192C4E","#C6A566"
"Bowie State University","#FFCE00","#1D252C"
"Carver College","#4169E1","#FFFFFF"
"Central State University","#46132D","#E8C31C"
"Charles Drew University of Medicine","#000000","#AE8400"
"Cheyney University of Pennsylvania","#005EB8","#0072CE"
"Claflin University","#CD2C23","#52131C"
"Clark Atlanta University","#E61E26","#100F0D"
"Clinton College","#000000","#ECCE7B"
"Coahoma Community College","#570A16","#FFFFFF"
"Coppin State University","#003056","#FFC915"
"Delaware State University","#EE3124","#72CDF4"
"Denmark Technical College","#0050B5","#FFFFFF"
"Dillard University","#003594","#789D4A"
"University of the District of Columbia","#B7312C","#EFBD47"
"Edward Waters University","#772583","#E87722"
"Elizabeth City State University","#264391","#FFFFFF"
"Fayetteville State University","#0067B1","#B0B7BC"
"Fisk University","#F4BA13","#2A56DF"
"Florida A&m University","#F4811F","#008344"
"Florida Memorial University","#24469A","#F6891F"
"Fort Valley State University","#2A307C","#D4A923"
"Gadsden State Community College","#BA122B","#000000"
"Grambling State University","#000000","#ECAA00"
"Hampton University","#0060A9","#FFFFFF"
"Harris Stowe State University","#F3BA0E","#302315"
"Hinds Community College","#842234","#FCFEFC"
"Howard University","#003A63","#E51937"
"Hustonâtillotson University","#660000","#FFCC00"
"Interdenominational Theological Center","#007953","#C5D5CD"
"J. F. Drake State University","#233872","#FFFFFF"
"Jackson State University","#002147","#FFFFFF"
"Jarvis Christian University","#0B406C","#F9A81B"
"Johnson C. Smith University","#FCCB06","#062849"
"Kentucky State University","#056839","#FFDE16"
"Knoxville College","#2A317C","#98012E"
"Lane College","#C41B31","#193050"
"Langston University","#1B3668","#F2682A"
"Lawson State Community College","#0A1B7E","#FABB24"
"Lemoyne Owen College","#53369A","#8F7A02"
"Lincoln University","#F2581C","#232E66"
"Lincoln University of Missouri","#182744","#888B8D"
"Livingstone College","#8CB0BF","#000000"
"University of Maryland Eastern Shore","#822433","#8B8D8E"
"Meharry Medical College","#7B1142","#FFFFFF"
"Miles College","#4D2165","#D6CD10"
"Mississippi Valley State University","#00703C","#E51937"
"Morehouse College","#840028","#FFFFFF"
"Morehouse School of Medicine","#3C4F85","#77787B"
"Morgan State University","#1B4383","#F47937"
"Morris Brown College","#4A233A","#FFFFFF"
"Morris College","#012C9B","#F5BE40"
"Norfolk State University","#007A53","#F3D03E"
"North Carolina A&t University","#004684","#FDB927"
"North Carolina Central University","#862633","#898D8D"
"Oakwood University","#FEC524","#1946BA"
"Paine College","#432C91","#000000"
"Paul Quinn College","#873494","#000000"
"Payne Theological Seminary","#5B2D75","#B57A22"
"Philander Smith College","#4A2B7C","#F4861F"
"Prairie View A&m University","#4F2582","#FEC325"
"Rust College","#2C3192","#FFFFFF"
"Savannah State University","#F24D17","#002294"
"Selma University",NA,NA
"Shaw University","#960A2C","#FFFFFF"
"Shorter College","#0036A2","#005AFF"
"Shelton State Community College","#008000","#50C878"
"Simmons College","#1E3D69","#F2CD26"
"South Carolina State University","#841A2B",NA
"Southern University at New Orleans","#69E3FF","#FFCF1C"
"Southern University at Shreveport","#69E3FF","#FFFFFF"
"Southern University and A&m College","#69E3FF","#FFCF1C"
"Southwestern Christian College","#0039A6","#FFFFFF"
"Spelman College","#02448D","#A0D1F0"
"St. Augustine's University","#003767","#FFFFFF"
"St. Philip's College","#0033FF","#FFFFFF"
"Stillman College","#06255B","#CEB770"
"Talladega College","#72CDF4","#AA0534"
"Tennessee State University","#00539F","#FFFFFF"
"Texas College","#4A1E59","#FFA32A"
"Texas Southern University","#7C183E","#9DA6AB"
"Tougaloo College","#AD1D20","#002A85"
"Trenholm State Community College",NA,NA
"Tuskegee University","#B21938","#ECAF0E"
"University of the Virgin Islands","#0043FA","#FFFFFF"
"Virginia State University","#F36917","#1C4F9C"
"Virginia Union University","#F6F4F3","#761F20"
"Virginia University of Lynchburg","#E4002A","#E4002A"
"Voorhees University","#0177C1","#FFFFFF"
"West Virginia State University","#D6B853","#242423"
"Wilberforce University","#EFCF0C","#056132"
"Wiley University","#3D2C68","#65538F"
"Winston Salem State University","#C8102E","#A7A8AA"
"Xavier University","#FFC530","#FFFFFF"
